Designator,Mid X,Mid Y,Layer,Rot
C1,72.723200,-61.976000,top,0.000000
C2,56.875000,-61.037500,top,270.000000
C3,56.875000,-56.237500,top,270.000000
C4,56.875000,-51.437500,top,270.000000
C5,50.875000,-61.037500,top,270.000000
C6,50.875000,-56.237500,top,270.000000
C7,50.875000,-51.437500,top,270.000000
C8,98.637500,-43.337500,top,270.000000
C9,98.637500,-48.237500,top,270.000000
C10,98.637500,-53.037500,top,270.000000
C11,104.637500,-43.337500,top,270.000000
C12,104.637500,-48.237500,top,270.000000
C13,104.637500,-53.037500,top,270.000000
C14,62.683842,-43.577789,top,0.000000
C15,66.121342,-43.577789,top,180.000000
C16,92.100000,-42.500000,top,90.000000
C17,90.900000,-48.900000,top,90.000000
C18,93.800000,-48.337500,top,90.000000
C19,62.788800,-53.820300,top,90.000000
C20,76.934300,-62.001400,top,180.000000
C21,79.679800,-52.834300,top,270.000000
C22,69.771500,-43.586400,top,180.000000
R1,79.705200,-49.349900,top,270.000000
R2,53.875000,-60.100000,top,0.000000
R3,53.875000,-55.300000,top,0.000000
R4,53.875000,-50.500000,top,0.000000
R5,47.875000,-60.100000,top,0.000000
R6,47.875000,-55.300000,top,0.000000
R7,47.812500,-50.500000,top,0.000000
R8,42.400000,-59.400000,top,90.000000
R9,40.000000,-59.400000,top,90.000000
R10,37.600000,-59.400000,top,90.000000
R11,101.637500,-42.400000,top,180.000000
R12,101.700000,-47.300000,top,180.000000
R13,101.637500,-52.100000,top,180.000000
R14,107.637500,-42.400000,top,180.000000
R15,107.637500,-47.300000,top,180.000000
R16,107.637500,-52.100000,top,180.000000
R17,107.600000,-39.200000,top,0.000000
R18,107.600000,-37.200000,top,0.000000
R19,107.600000,-35.200000,top,0.000000
R20,59.690000,-56.974500,top,90.000000
R21,59.654942,-52.082089,top,270.000000
R22,83.762500,-50.300000,top,180.000000
R23,89.681847,-57.186583,top,180.000000
R24,93.219347,-58.586583,top,180.000000
R25,89.656847,-60.286583,top,180.000000
R26,93.256847,-61.686583,top,180.000000
R27,89.681847,-63.386583,top,180.000000
R28,93.256847,-64.786583,top,180.000000
R29,87.337500,-50.300000,top,180.000000
U1,70.510742,-52.811189,top,90.000000
U2,85.500000,-44.050000,top,90.000000
